RANK,Company,Location,Turnover £m,Pre-tax Profit £m,EBITDA £m,Employees,Year End
93,THE SCOTCH WHISKY HERITAGE CENTRE ,Edinburgh,  10.4,  1.0,  1.9,89,Nov 24
94,KILCHOMAN DISTILLERY COMPANY ,Isle Of Islay,  9.9,  1.3,  3.1,48,Dec 24
95,SHORTBREAD HOUSE OF EDINBURGH ,Edinburgh,  7.0,  1.5,  1.5,70,Feb 25
96,ISLAND BAKERY ORGANICS ,Isle Of Mull,  4.8,  0.4,  0.6,37,Mar 25
97,ARK GLASGOW ,Glasgow,  4.5,  0.0,  0.1,7,Sep 25
98,ANNANDALE DISTILLERY COMPANY ,Annan,  3.7, (0.1),  0.3,69,Mar 25
99,RESTORATION YARD ,Selkirk,  2.6, (0.4), (0.3),-,Oct 24
100,BEN NEVIS BAR TRADING COMPANY ,Oban,  2.2,  0.4,  0.4,15,Oct 24
101,THE FISHOUSE (OBAN) ,Oban,  1.4,  0.2,  0.2,10,Mar 25
102,MACMILLAN SPIRITS CO ,Isle Of South Uist,  1.2,  0.7,  0.9,7,Mar 25
103,NUMBER SIXTEEN WEST END ,Glasgow,  0.8,  0.0,  0.0,-,May 24
104,WILLIAMS & JOHNSON COFFEE CO ,Edinburgh,  0.6,  0.1,  0.1,13,Mar 25
105,TAY BRIDGE TAVERNS ,Newport-On-Tay,  0.3,  0.0,  0.0,-,May 25
106,MADAMEMEWS ,Aberdeen,  0.3, (0.0), (0.0),7,Apr 24
107,FOOD FORTY SIX ,Paisley,  0.2, (0.0), (0.0),10,Oct 24
108,VANDYKE BROTHERS COFFEE ,Cromarty,  0.2,  0.0,  0.0,2,Dec 25
109,THE WATERFRONT COMPANY (OBAN) ,Oban,  0.1,  0.1,  0.1,1,Mar 25
